success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
1,0.92,9,0,0.0,2.0,0.001403727002778194,Map-Conditioned Standard Diffusion,0,task_06
1,0.9,11,0,0.0,4.0,0.0013695190004496412,Map-Conditioned Standard Diffusion,0,task_06
0,-1.1199999999999999,13,1,0.0,,0.0013311123083650062,Map-Conditioned Standard Diffusion,0,task_06
1,0.92,9,0,0.0,2.0,0.0013402079979035382,Map-Conditioned Standard Diffusion,0,task_06
1,0.9,11,0,0.0,4.0,0.0013159546374068173,Map-Conditioned Standard Diffusion,0,task_06
1,0.92,9,0,0.0,2.0,0.001389240664947364,Map-Conditioned Failure-Memory Diffusion,0,task_06
1,0.9,11,0,0.0,4.0,0.001399534274241887,Map-Conditioned Failure-Memory Diffusion,0,task_06
0,-1.1199999999999999,13,1,0.0,,0.0013915994618750678,Map-Conditioned Failure-Memory Diffusion,0,task_06
0,-1.05,6,1,1.0,,0.0014682848341180943,Map-Conditioned Failure-Memory Diffusion,0,task_06
0,-1.02,3,1,0.25,,0.0015850973383445914,Map-Conditioned Failure-Memory Diffusion,0,task_06
1,0.94,7,0,0.0,0.0,0.00378461299780091,Map-Conditioned Improved Failure-Memory Diffusion,0,task_06
1,0.88,13,0,0.0,6.0,0.0039892243042301675,Map-Conditioned Improved Failure-Memory Diffusion,0,task_06
1,0.94,7,0,0.0,0.0,0.0021874999989190008,Map-Conditioned Improved Failure-Memory Diffusion,0,task_06
1,0.94,7,0,0.0,0.0,0.00208686914577681,Map-Conditioned Improved Failure-Memory Diffusion,0,task_06
1,0.94,7,0,0.0,0.0,0.0021150180005601476,Map-Conditioned Improved Failure-Memory Diffusion,0,task_06
0,-1.0,1,1,0.0,,6.040994776412845e-06,Random Policy,0,task_07
0,-1.0,1,1,0.0,,2.2080057533457875e-06,Random Policy,0,task_07
0,-1.07,8,1,0.0,,8.227470971178263e-07,Random Policy,0,task_07
0,-1.03,4,1,0.0,,8.959941624198109e-07,Random Policy,0,task_07
0,-1.05,6,1,0.0,,7.776640510807434e-07,Random Policy,0,task_07
1,0.92,9,0,0.0,0.0,1.9444754191984734e-07,Value Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.2500256869114108e-07,Value Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.064456430160337e-07,Value Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.248910040077236e-07,Value Iteration,0,task_07
1,0.92,9,0,0.0,0.0,9.699498251494434e-08,Value Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.806652613191141e-07,Policy Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.2944575347420243e-07,Policy Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.1566670663240883e-07,Policy Iteration,0,task_07
1,0.92,9,0,0.0,0.0,1.1122190496987767e-07,Policy Iteration,0,task_07
