success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
1,0.94,7,0,0.0,2.0,0.001374452285485209,20,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0013644499995280057,20,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.0013858976361172442,20,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0014065417999518104,20,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.0013923752730161968,20,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0015560250001726672,30,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001559199221244651,30,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.0015582008193384602,30,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0015472855697485752,30,0.1,easy,0
1,0.9,11,0,0.0,6.0,0.0015183559986656871,30,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0015342795709979587,30,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.001534004555045006,30,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0015197545556778398,30,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0015488092872796447,30,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0015320499980589375,30,0.1,easy,0
1,0.92,9,0,0.0,4.0,0.0017695972225434768,40,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.001806299797317479,40,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0018917024301897203,40,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.001823066599899903,40,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0017636332006077283,40,0.1,easy,0
1,0.94,7,0,0.0,2.0,0.0017376905702154285,40,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0017322750019957312,40,0.1,easy,0
1,0.88,13,0,0.0,8.0,0.0020398750762419347,40,0.1,easy,0
1,0.96,5,0,0.0,0.0,0.0035262830002466216,40,0.1,easy,0
