success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
0,-1.02,3,1,1.0,,0.0013182503171265125,10,0.5,deceptive,1
0,-1.01,2,1,0.3333333333333333,,0.0013331040972843766,10,0.5,deceptive,1
0,-1.04,5,1,0.6666666666666666,,0.0013393667992204427,10,0.5,deceptive,1
0,-1.05,6,1,0.2857142857142857,,0.001411201471152405,10,0.5,deceptive,1
0,-1.05,6,1,1.0,,0.0013151390400404732,10,0.5,deceptive,1
0,-1.04,5,1,1.0,,0.0013146083801984787,10,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.0013087289407849312,10,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.001326250028796494,10,0.5,deceptive,1
0,-1.04,5,1,1.0,,0.0013113165739923715,10,0.5,deceptive,1
0,-1.07,8,1,0.0,,0.0015326666180044413,20,0.5,deceptive,1
0,-1.04,5,1,0.6666666666666666,,0.0015516249928623437,20,0.5,deceptive,1
0,-1.07,8,1,0.7777777777777778,,0.0015348959132097661,20,0.5,deceptive,1
0,-1.04,5,1,1.0,,0.0015340331941843034,20,0.5,deceptive,1
0,-1.04,5,1,0.3333333333333333,,0.0016463003121316433,20,0.5,deceptive,1
0,-1.05,6,1,1.0,,0.0015602708638956149,20,0.5,deceptive,1
0,-1.05,6,1,1.0,,0.0016148474533110857,20,0.5,deceptive,1
0,-1.04,5,1,1.0,,0.001538533205166459,20,0.5,deceptive,1
0,-1.09,10,1,1.0,,0.001533020450733602,20,0.5,deceptive,1
0,-1.09,10,1,1.0,,0.0015347335254773497,20,0.5,deceptive,1
0,-1.03,4,1,0.0,,0.0017916562501341105,30,0.5,deceptive,1
0,-1.04,5,1,0.8333333333333334,,0.0017366833984851838,30,0.5,deceptive,1
0,-1.06,7,1,0.25,,0.0017595297457384212,30,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.0017157705151475966,30,0.5,deceptive,1
0,-1.08,9,1,1.0,,0.001714777692945467,30,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.001789760251995176,30,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.001720573054626584,30,0.5,deceptive,1
0,-1.05,6,1,1.0,,0.0017159651421631377,30,0.5,deceptive,1
0,-1.06,7,1,1.0,,0.0017600954909409796,30,0.5,deceptive,1
